review_id,employee_id,review_date,performance_rating,job_satisfaction,environment_satisfaction,relationship_satisfaction,job_involvement,work_life_balance,training_times_last_year,percent_salary_hike
REV-000083,14,2022-12-11,3,2,1,4,3,3,5,14
REV-000084,14,2023-12-10,3,3,1,3,3,4,5,16
REV-000085,15,2023-12-14,2,1,5,2,4,1,4,11
REV-000086,16,2021-12-20,4,2,2,4,4,3,3,11
REV-000087,16,2022-12-24,3,3,3,4,4,3,1,12
REV-000088,16,2023-12-22,3,3,2,4,4,2,1,12
REV-000089,17,2023-12-02,4,3,4,2,2,2,3,24
REV-000090,18,2019-12-16,2,3,1,3,2,4,5,11
REV-000091,18,2020-12-26,3,4,2,3,2,4,4,11
REV-000092,18,2021-12-10,3,2,1,4,3,4,6,11
REV-000093,18,2022-12-10,3,2,1,4,1,3,5,15
REV-000094,18,2023-12-25,3,3,2,4,2,4,4,11
REV-000095,19,2017-12-05,2,2,4,1,2,3,3,12
REV-000096,19,2018-12-05,2,2,4,1,1,4,1,16
REV-000097,19,2019-12-12,3,1,3,1,2,2,1,12
REV-000098,19,2020-12-08,3,2,5,1,2,2,2,12
REV-000099,19,2021-12-19,3,1,5,1,3,2,3,16
REV-000100,19,2022-12-15,3,2,4,1,1,4,2,14
REV-000101,19,2023-12-24,2,2,4,1,3,2,3,12
REV-000102,20,2018-12-14,2,4,4,3,3,2,2,15
REV-000103,20,2019-12-19,4,4,4,4,3,2,4,13
REV-000104,20,2020-12-01,3,5,5,3,2,3,3,11
REV-000105,20,2021-12-13,3,3,4,3,3,2,2,11
REV-000106,20,2022-12-06,3,4,3,4,3,2,3,15
REV-000107,20,2023-12-21,2,4,3,2,4,3,2,13
REV-000108,21,2009-12-17,3,3,2,5,2,2,3,11
REV-000109,21,2010-12-23,3,2,1,5,3,3,3,11
REV-000110,21,2011-12-14,3,4,2,4,2,3,1,13
REV-000111,21,2012-12-19,3,3,2,5,2,3,3,11
REV-000112,21,2013-12-10,4,3,2,4,2,3,2,15
REV-000113,21,2014-12-04,3,2,2,5,2,3,1,11
REV-000114,21,2015-12-15,4,3,2,4,2,2,2,15
REV-000115,21,2016-12-11,2,3,3,4,2,2,3,11
REV-000116,21,2017-12-21,2,3,2,3,2,2,1,11
REV-000117,21,2018-12-11,3,3,2,4,2,3,2,11
REV-000118,21,2019-12-06,2,4,2,3,3,3,1,15
REV-000119,21,2020-12-18,2,3,2,3,2,3,2,11
REV-000120,21,2021-12-03,3,3,2,4,2,3,1,13
REV-000121,21,2022-12-10,3,2,2,3,2,3,3,15
REV-000122,21,2023-12-25,2,4,2,4,2,3,3,15
REV-000123,22,2023-12-06,3,3,2,3,3,3,4,25
REV-000124,23,2019-12-18,4,4,1,3,1,4,1,12
REV-000125,23,2020-12-01,4,4,1,3,2,3,2,16
REV-000126,23,2021-12-19,3,3,1,3,2,3,3,14
REV-000127,23,2022-12-02,4,4,2,3,3,3,3,12
REV-000128,23,2023-12-15,3,4,1,3,2,4,3,12
REV-000129,24,2005-12-18,2,3,4,4,2,3,6,16
REV-000130,24,2006-12-07,3,2,3,4,1,3,4,16
REV-000131,24,2007-12-16,3,3,3,4,1,3,4,12
REV-000132,24,2008-12-18,3,2,3,4,2,3,5,16
REV-000133,24,2009-12-03,3,2,4,4,1,3,6,12
REV-000134,24,2010-12-06,2,2,3,5,1,3,5,14
REV-000135,24,2011-12-04,3,3,5,4,1,2,4,12
REV-000136,24,2012-12-27,3,2,5,4,1,4,5,14
REV-000137,24,2013-12-23,4,4,4,3,1,3,4,14
REV-000138,24,2014-12-21,4,3,4,5,1,3,5,16
REV-000139,24,2015-12-07,4,3,3,4,2,2,4,12
REV-000140,24,2016-12-21,3,4,4,3,2,2,6,16
REV-000141,24,2017-12-21,3,3,5,5,2,4,5,16
REV-000142,24,2018-12-16,3,3,3,5,1,3,4,16
REV-000143,24,2019-12-21,2,3,4,4,1,2,4,12
REV-000144,24,2020-12-13,2,2,3,4,1,3,4,14
REV-000145,24,2021-12-11,3,3,4,4,1,2,5,14
REV-000146,24,2022-12-26,3,4,4,4,1,3,4,14
REV-000147,24,2023-12-14,2,2,4,3,1,3,6,12
REV-000148,25,2017-12-25,2,1,1,2,4,1,5,18
REV-000149,25,2018-12-07,3,3,2,3,3,2,6,20
REV-000150,25,2019-12-24,4,2,2,1,3,2,5,16
REV-000151,25,2020-12-18,3,2,2,2,4,2,6,20
REV-000152,25,2021-12-27,3,2,3,1,4,1,6,20
REV-000153,25,2022-12-21,3,2,2,2,4,2,6,20
REV-000154,25,2023-12-27,2,3,2,2,4,2,5,18
REV-000155,26,2014-12-17,3,2,1,3,4,3,5,23
REV-000156,26,2015-12-23,3,3,2,3,3,2,6,23
REV-000157,26,2016-12-06,4,4,1,3,4,3,6,25
REV-000158,26,2017-12-26,4,3,1,3,3,2,6,25
REV-000159,26,2018-12-15,4,4,3,3,3,3,6,25
REV-000160,26,2019-12-15,5,2,2,3,2,3,6,25
REV-000161,26,2020-12-21,4,3,2,2,3,4,6,25
REV-000162,26,2021-12-19,4,3,2,4,3,3,5,25
REV-000163,26,2022-12-22,3,3,2,3,3,3,5,23
REV-000164,26,2023-12-12,4,2,2,3,3,2,6,25
REV-000165,27,2016-12-13,3,3,1,2,3,3,4,19
REV-000166,27,2017-12-17,3,3,1,1,2,4,3,17
REV-000167,27,2018-12-27,3,2,1,1,2,3,4,15
REV-000168,27,2019-12-02,3,3,1,1,2,3,3,15
REV-000169,27,2020-12-12,4,3,1,1,2,3,4,19
REV-000170,27,2021-12-27,3,4,1,1,2,2,4,19
REV-000171,27,2022-12-10,2,3,1,1,2,2,4,15
REV-000172,27,2023-12-24,2,2,1,2,3,2,3,15
REV-000173,28,2023-12-26,4,3,3,4,3,3,3,17
REV-000174,29,2019-12-11,4,1,3,3,3,3,4,23
REV-000175,29,2020-12-17,3,2,4,2,2,3,3,25
REV-000176,29,2021-12-02,4,1,3,3,2,3,3,23
REV-000177,29,2022-12-17,4,2,3,2,2,3,3,23
REV-000178,29,2023-12-02,4,2,3,2,2,3,4,25
REV-000179,30,2018-12-18,3,5,2,1,3,3,1,17
REV-000180,30,2019-12-08,2,5,3,1,3,3,1,21
REV-000181,30,2020-12-02,2,5,3,1,2,3,1,17
REV-000182,30,2021-12-17,2,5,2,2,4,2,0,19
REV-000183,30,2022-12-27,2,3,4,1,3,4,2,17
REV-000184,30,2023-12-22,3,4,3,2,4,4,2,21
REV-000185,31,2023-12-23,2,4,2,3,3,2,2,11
REV-000186,32,2022-12-20,3,2,1,1,2,2,3,12
REV-000187,32,2023-12-26,3,3,2,1,3,1,3,14
REV-000188,33,2018-12-13,2,3,1,3,4,3,2,11
REV-000189,33,2019-12-05,3,3,1,2,4,3,4,13
REV-000190,33,2020-12-03,3,4,2,2,4,3,4,13
REV-000191,33,2021-12-25,4,4,2,2,4,4,3,11
REV-000192,33,2022-12-13,3,3,2,3,4,3,3,11
REV-000193,33,2023-12-16,3,4,2,3,4,2,3,11
REV-000194,34,2020-12-17,3,4,2,2,2,2,1,16
REV-000195,34,2021-12-01,4,3,1,3,4,3,2,14
REV-000196,34,2022-12-22,3,2,1,2,3,3,3,12
REV-000197,34,2023-12-20,3,4,1,3,4,3,1,12
REV-000198,35,2015-12-13,3,2,4,2,3,4,1,15
REV-000199,35,2016-12-09,3,2,2,4,4,4,1,17
REV-000200,35,2017-12-27,4,3,2,4,3,3,2,17
REV-000201,35,2018-12-15,3,2,3,4,4,4,1,17
REV-000202,35,2019-12-03,3,1,3,4,3,4,0,13
REV-000203,35,2020-12-20,3,2,3,2,3,4,2,17
REV-000204,35,2021-12-03,3,3,3,4,3,4,2,17
REV-000205,35,2022-12-08,4,3,4,3,3,4,1,15
REV-000206,35,2023-12-22,4,2,2,2,2,4,1,15
REV-000207,36,2015-12-13,3,4,4,2,3,2,2,13
REV-000208,36,2016-12-18,4,4,4,2,3,2,1,13
REV-000209,36,2017-12-27,3,4,4,1,4,2,2,15
REV-000210,36,2018-12-15,3,4,3,3,3,1,1,13
REV-000211,36,2019-12-05,4,4,4,2,2,2,2,17
REV-000212,36,2020-12-14,3,4,3,3,3,1,1,17
REV-000213,36,2021-12-17,2,4,3,2,2,2,1,15
REV-000214,36,2022-12-21,3,4,5,2,3,2,2,17
REV-000215,36,2023-12-24,3,4,3,3,3,2,2,17
REV-000216,37,2005-12-04,4,3,1,3,4,3,1,17
REV-000217,37,2006-12-24,4,3,2,3,4,2,1,15
REV-000218,37,2007-12-15,2,3,1,2,4,2,2,17
REV-000219,37,2008-12-09,4,3,1,3,4,2,3,15
REV-000220,37,2009-12-19,4,3,1,3,4,2,1,17
REV-000221,37,2010-12-01,4,3,1,2,4,2,1,17
REV-000222,37,2011-12-07,2,2,1,2,4,2,3,17
REV-000223,37,2012-12-14,3,3,1,2,4,2,3,15
REV-000224,37,2013-12-16,3,3,1,3,4,2,2,17
REV-000225,37,2014-12-02,3,4,1,2,4,3,1,17
REV-000226,37,2015-12-12,3,3,1,3,3,2,3,15
REV-000227,37,2016-12-12,3,3,1,2,3,3,2,19
REV-000228,37,2017-12-02,3,4,1,3,4,2,1,15
REV-000229,37,2018-12-05,3,3,1,3,3,3,3,15
REV-000230,37,2019-12-24,3,3,1,4,4,2,1,17
REV-000231,37,2020-12-26,4,4,1,3,4,2,2,17
REV-000232,37,2021-12-08,3,3,1,4,4,2,1,17
REV-000233,37,2022-12-27,2,2,1,3,4,2,2,15
REV-000234,37,2023-12-04,3,3,1,2,4,2,1,15
REV-000235,38,2017-12-09,3,2,4,2,2,2,6,16
REV-000236,38,2018-12-13,3,2,3,2,3,4,6,16
REV-000237,38,2019-12-08,3,1,4,4,3,3,6,18
REV-000238,38,2020-12-19,2,2,4,3,4,3,6,20
REV-000239,38,2021-12-09,4,3,3,2,4,4,6,18
REV-000240,38,2022-12-06,3,3,4,3,3,2,5,20
REV-000241,38,2023-12-24,3,3,4,3,3,4,6,16
REV-000242,39,2020-12-17,3,3,3,1,2,4,0,14
REV-000243,39,2021-12-17,3,3,3,1,2,3,0,14
REV-000244,39,2022-12-02,3,3,3,1,4,3,1,14
REV-000245,39,2023-12-27,2,2,3,2,3,2,1,14
REV-000246,40,2006-12-11,3,1,5,2,3,3,3,15
REV-000247,40,2007-12-13,3,1,4,4,3,4,2,11
REV-000248,40,2008-12-04,3,1,5,2,2,3,4,11
REV-000249,40,2009-12-12,3,1,4,3,4,3,4,11
REV-000250,40,2010-12-26,4,1,4,3,3,3,3,13
REV-000251,40,2011-12-27,2,1,4,2,2,3,4,15
REV-000252,40,2012-12-23,3,2,4,4,4,3,4,15
REV-000253,40,2013-12-04,3,1,4,3,3,3,4,13
REV-000254,40,2014-12-22,3,1,4,4,3,3,4,11
REV-000255,40,2015-12-02,3,2,5,2,3,2,3,11
REV-000256,40,2016-12-06,3,1,4,3,2,4,2,13
REV-000257,40,2017-12-04,3,1,3,3,3,3,2,11
REV-000258,40,2018-12-01,3,1,4,3,3,3,3,15
REV-000259,40,2019-12-17,2,2,3,2,3,3,4,15
REV-000260,40,2020-12-18,2,2,3,4,4,2,3,15
REV-000261,40,2021-12-02,3,2,4,4,4,2,2,15
REV-000262,40,2022-12-02,3,1,4,3,3,3,2,15
REV-000263,40,2023-12-13,2,2,4,4,3,3,2,15
REV-000264,41,2020-12-18,3,3,3,2,3,3,1,14
REV-000265,41,2021-12-21,3,3,3,2,3,3,1,14
REV-000266,41,2022-12-03,3,3,3,2,3,3,0,14
REV-000267,41,2023-12-20,2,3,2,2,3,3,0,16
REV-000268,42,2014-12-12,2,4,4,2,2,2,1,13
REV-000269,42,2015-12-22,2,4,4,4,3,2,3,11
REV-000270,42,2016-12-27,4,4,4,3,3,2,3,11
REV-000271,42,2017-12-15,3,4,4,2,3,2,2,15
REV-000272,42,2018-12-08,2,5,3,4,3,2,2,15
REV-000273,42,2019-12-21,2,4,4,3,3,2,2,13
REV-000274,42,2020-12-16,3,4,5,2,3,3,1,13
REV-000275,42,2021-12-19,4,4,4,3,3,2,3,15
REV-000276,42,2022-12-12,3,5,4,3,2,3,1,13
REV-000277,42,2023-12-27,3,5,5,4,4,2,3,13
REV-000278,43,2009-12-23,3,3,4,3,2,4,2,14
REV-000279,43,2010-12-18,3,3,4,2,3,3,3,16
REV-000280,43,2011-12-13,3,3,4,3,3,3,4,16
REV-000281,43,2012-12-08,4,4,3,4,3,4,3,14
REV-000282,43,2013-12-12,4,4,5,2,2,4,4,16
REV-000283,43,2014-12-07,4,3,4,3,3,3,2,12
REV-000284,43,2015-12-23,3,2,4,2,2,3,3,14
REV-000285,43,2016-12-23,3,3,4,3,4,3,4,16
REV-000286,43,2017-12-09,2,3,5,3,3,3,4,16
REV-000287,43,2018-12-01,3,3,4,3,3,3,2,16
REV-000288,43,2019-12-16,2,3,3,3,2,3,3,12
REV-000289,43,2020-12-04,3,3,4,3,3,2,2,12
REV-000290,43,2021-12-03,3,3,3,3,3,3,4,12
REV-000291,43,2022-12-11,2,3,3,2,2,3,2,12
REV-000292,43,2023-12-09,3,2,4,3,3,3,3,12
REV-000293,44,2022-12-06,4,3,3,3,3,2,5,11
REV-000294,44,2023-12-14,4,3,4,4,4,2,6,11
REV-000295,45,2019-12-08,3,4,4,3,4,3,1,13
REV-000296,45,2020-12-13,2,3,5,4,4,4,1,13
REV-000297,45,2021-12-12,3,3,5,3,3,4,3,13
REV-000298,45,2022-12-02,3,3,5,3,3,3,1,11
REV-000299,45,2023-12-01,3,3,4,4,3,3,2,11
REV-000300,46,2022-12-12,3,3,1,3,3,2,3,16
REV-000301,46,2023-12-15,2,3,1,3,3,3,4,16
REV-000302,47,2020-12-02,2,4,1,4,4,3,4,16
REV-000303,47,2021-12-20,4,2,2,4,4,1,5,20
REV-000304,47,2022-12-11,4,3,1,4,3,3,4,20
REV-000305,47,2023-12-01,3,3,1,4,3,2,6,20
REV-000306,48,2016-12-20,2,3,4,2,3,3,2,11
REV-000307,48,2017-12-10,4,3,4,1,3,3,3,14
REV-000308,48,2018-12-26,3,3,3,3,1,2,3,14
REV-000309,48,2019-12-13,4,4,3,3,3,3,1,12
REV-000310,48,2020-12-06,3,3,5,2,2,3,1,11
REV-000311,48,2021-12-12,3,3,4,3,2,3,2,14
REV-000312,48,2022-12-09,3,4,4,3,2,3,1,11
REV-000313,48,2023-12-11,3,3,3,2,2,3,1,12
REV-000314,49,2015-12-08,3,2,2,1,3,3,3,11
REV-000315,49,2016-12-15,3,3,2,1,3,3,1,11
REV-000316,49,2017-12-13,3,3,1,1,3,3,2,14
REV-000317,49,2018-12-24,2,2,1,1,4,4,2,12
REV-000318,49,2019-12-24,3,3,1,1,4,3,3,12
REV-000319,49,2020-12-24,2,2,1,2,2,3,3,12
REV-000320,49,2021-12-21,3,3,2,1,3,4,3,11
REV-000321,49,2022-12-06,3,2,1,1,2,4,3,12
REV-000322,49,2023-12-21,3,3,2,1,3,3,1,14
REV-000323,50,2019-12-03,2,3,4,3,4,3,3,13
REV-000324,50,2020-12-06,4,1,5,3,4,3,2,11
REV-000325,50,2021-12-23,2,1,4,3,2,2,3,11
REV-000326,50,2022-12-05,3,2,4,3,3,2,4,11
REV-000327,50,2023-12-03,2,1,4,3,3,3,2,11
REV-000328,51,2019-12-09,3,3,3,3,2,2,4,11
REV-000329,51,2020-12-20,3,3,4,2,3,2,5,11
REV-000330,51,2021-12-04,3,2,4,4,3,3,5,11
REV-000331,51,2022-12-11,3,2,4,2,4,3,6,12
REV-000332,51,2023-12-14,4,3,3,4,4,4,6,12
REV-000333,52,2010-12-15,2,3,4,4,3,3,2,14
REV-000334,52,2011-12-14,4,3,2,4,1,3,3,14
REV-000335,52,2012-12-06,3,2,3,3,2,4,2,11
REV-000336,52,2013-12-12,3,4,4,3,2,2,3,12
REV-000337,52,2014-12-24,2,4,4,3,2,3,4,11
REV-000338,52,2015-12-07,3,3,3,3,2,2,2,11
REV-000339,52,2016-12-08,2,3,3,3,1,4,2,11
REV-000340,52,2017-12-07,3,3,3,3,3,3,2,14
REV-000341,52,2018-12-13,3,4,2,3,2,3,4,14
REV-000342,52,2019-12-03,3,2,2,3,2,3,2,12
REV-000343,52,2020-12-16,3,2,2,3,3,3,2,11
REV-000344,52,2021-12-19,3,3,2,3,2,3,4,11
REV-000345,52,2022-12-18,4,3,3,3,1,3,3,14
REV-000346,52,2023-12-24,2,3,2,3,2,2,3,12
REV-000347,53,2016-12-13,4,4,3,1,3,3,6,21
REV-000348,53,2017-12-25,3,4,2,1,4,3,4,19
REV-000349,53,2018-12-09,3,4,3,1,3,3,4,17
REV-000350,53,2019-12-25,4,3,3,2,4,3,5,19
REV-000351,53,2020-12-25,3,4,3,2,4,3,6,17
REV-000352,53,2021-12-01,3,5,3,1,3,3,6,21
REV-000353,53,2022-12-15,2,5,3,1,3,3,6,21
REV-000354,53,2023-12-01,3,4,3,1,3,4,4,19
REV-000355,54,2022-12-22,3,4,2,4,3,3,3,13
REV-000356,54,2023-12-13,3,5,2,2,3,2,1,11
REV-000357,55,2021-12-06,3,4,2,2,4,2,2,16
REV-000358,55,2022-12-09,2,5,3,1,4,3,1,16
REV-000359,55,2023-12-19,3,4,4,1,3,3,1,20
REV-000360,56,2022-12-25,3,4,4,2,3,3,2,12
REV-000361,56,2023-12-08,3,4,4,2,3,3,4,16
REV-000362,57,2022-12-18,4,3,4,4,3,4,0,13
REV-000363,57,2023-12-19,3,3,4,5,3,2,0,11
REV-000364,58,2016-12-07,3,2,2,1,1,3,3,15
REV-000365,58,2017-12-06,3,3,2,2,2,3,3,15
REV-000366,58,2018-12-05,4,3,3,1,1,3,4,13
REV-000367,58,2019-12-11,3,3,1,1,1,2,3,15
REV-000368,58,2020-12-27,3,4,1,1,1,3,2,15
REV-000369,58,2021-12-03,3,3,1,1,1,3,2,11
REV-000370,58,2022-12-09,3,2,1,2,2,3,3,13
REV-000371,58,2023-12-10,4,3,3,1,1,3,2,13
REV-000372,59,2018-12-16,3,3,3,5,2,4,3,15
REV-000373,59,2019-12-18,2,5,2,4,1,3,2,17
REV-000374,59,2020-12-04,3,4,4,3,2,3,2,15
REV-000375,59,2021-12-20,2,4,4,4,2,4,1,19
REV-000376,59,2022-12-20,2,5,3,4,1,3,2,15
REV-000377,59,2023-12-21,2,4,3,4,2,2,2,17
REV-000378,60,2014-12-02,3,2,2,1,3,2,1,14
REV-000379,60,2015-12-27,4,3,3,1,3,3,1,14
REV-000380,60,2016-12-10,3,3,2,3,3,2,1,12
REV-000381,60,2017-12-07,2,2,1,2,4,1,2,16
REV-000382,60,2018-12-16,4,2,2,2,2,2,2,12
REV-000383,60,2019-12-21,4,2,2,2,3,2,1,14
REV-000384,60,2020-12-05,4,2,2,1,3,2,1,16
REV-000385,60,2021-12-14,4,4,2,2,3,2,3,16
REV-000386,60,2022-12-03,3,3,2,2,3,2,2,14
REV-000387,60,2023-12-09,3,3,2,2,2,2,1,14
REV-000388,61,2014-12-08,4,4,2,4,2,1,2,24
REV-000389,61,2015-12-14,4,5,3,4,3,1,2,22
REV-000390,61,2016-12-10,5,5,2,5,3,1,3,22
REV-000391,61,2017-12-18,3,4,3,3,4,1,3,22
REV-000392,61,2018-12-22,3,4,4,4,3,1,3,24
REV-000393,61,2019-12-02,4,4,2,4,3,1,3,20
REV-000394,61,2020-12-08,3,4,3,3,3,1,1,20
REV-000395,61,2021-12-06,4,4,3,3,4,1,3,24
REV-000396,61,2022-12-19,4,4,3,3,4,1,3,24
REV-000397,61,2023-12-25,4,4,2,5,3,1,1,20
REV-000398,62,2020-12-06,4,3,3,1,2,2,2,11
REV-000399,62,2021-12-04,4,4,4,1,3,2,1,14
REV-000400,62,2022-12-15,3,4,3,1,2,2,2,11
REV-000401,62,2023-12-27,3,5,3,1,2,2,1,14
REV-000402,63,2005-12-05,4,3,4,5,1,4,4,12
REV-000403,63,2006-12-12,3,3,4,4,1,3,6,16
REV-000404,63,2007-12-22,3,3,5,4,2,4,4,12
REV-000405,63,2008-12-15,2,4,4,4,1,3,6,14
REV-000406,63,2009-12-24,3,3,5,4,1,3,6,12
REV-000407,63,2010-12-27,3,3,4,4,2,2,5,12
REV-000408,63,2011-12-19,2,3,4,3,2,3,6,12
REV-000409,63,2012-12-06,3,3,4,4,2,3,6,16
REV-000410,63,2013-12-27,4,2,4,4,1,4,4,14
REV-000411,63,2014-12-05,3,3,5,4,1,3,5,16
REV-000412,63,2015-12-20,3,3,3,3,2,3,6,16
REV-000413,63,2016-12-06,3,3,4,4,2,3,6,12
REV-000414,63,2017-12-15,3,3,4,5,2,2,6,14
REV-000415,63,2018-12-22,3,3,3,4,1,2,5,14
REV-000416,63,2019-12-11,3,3,3,3,1,4,4,12
REV-000417,63,2020-12-04,3,2,4,4,2,2,6,14
REV-000418,63,2021-12-05,3,3,4,4,1,4,4,14
REV-000419,63,2022-12-01,3,4,3,4,1,4,6,14
REV-000420,63,2023-12-03,3,3,5,4,1,3,5,14
REV-000421,64,2014-12-09,3,5,1,3,3,2,2,13
REV-000422,64,2015-12-17,4,3,2,2,4,3,1,13
REV-000423,64,2016-12-05,2,5,1,3,2,3,0,11
REV-000424,64,2017-12-17,3,5,1,2,4,4,2,13
REV-000425,64,2018-12-11,2,4,1,3,3,3,2,11
REV-000426,64,2019-12-08,3,4,1,3,3,3,2,11
REV-000427,64,2020-12-11,3,4,1,3,4,3,2,11
REV-000428,64,2021-12-22,3,5,1,2,3,3,0,11
REV-000429,64,2022-12-17,4,4,1,3,3,2,1,13
REV-000430,64,2023-12-02,3,4,2,3,3,3,2,11
REV-000431,65,2007-12-19,2,4,1,2,1,3,2,11
REV-000432,65,2008-12-11,2,4,2,2,2,3,4,11
REV-000433,65,2009-12-18,3,3,3,2,1,3,3,13
REV-000434,65,2010-12-13,3,4,2,2,2,3,4,15
REV-000435,65,2011-12-18,3,4,2,2,1,3,4,13
REV-000436,65,2012-12-08,2,4,2,2,1,4,3,11
REV-000437,65,2013-12-25,2,3,2,2,1,3,4,13
REV-000438,65,2014-12-24,4,4,2,2,1,2,2,15
REV-000439,65,2015-12-26,2,4,3,1,1,2,2,11
REV-000440,65,2016-12-17,3,3,3,2,1,2,3,13
REV-000441,65,2017-12-15,3,5,2,3,1,3,4,11
REV-000442,65,2018-12-25,3,5,2,2,1,3,2,11
REV-000443,65,2019-12-17,3,4,3,1,1,3,3,13
REV-000444,65,2020-12-10,2,3,3,2,2,2,3,11
REV-000445,65,2021-12-20,3,4,1,1,1,4,4,13
REV-000446,65,2022-12-02,3,4,2,3,1,3,2,15
