assignment_id,employee_id,project_id,assignment_role,allocation_percentage,start_date,end_date
ASN-00140,503,PRJ-1530,Reviewer,75,2021-04-09,2021-12-07
ASN-00141,6911,PRJ-2039,Lead,100,2021-01-13,
ASN-00142,12686,PRJ-1497,Contributor,25,2019-04-04,
ASN-00143,23323,PRJ-2238,Contributor,100,2020-07-21,2020-09-07
ASN-00144,20873,PRJ-1409,Consultant,100,2020-06-15,2022-08-19
ASN-00145,207,PRJ-1401,Lead,75,2019-05-06,
ASN-00146,21519,PRJ-1307,Lead,75,2022-10-13,
ASN-00147,22362,PRJ-0973,Reviewer,100,2018-04-14,2018-11-08
ASN-00148,24106,PRJ-1769,Reviewer,100,2020-09-10,2021-09-14
ASN-00149,23420,PRJ-1283,Contributor,50,2022-12-22,
ASN-00150,17869,PRJ-0710,Consultant,25,2022-07-11,2022-10-31
ASN-00151,24243,PRJ-1480,Reviewer,100,2023-01-05,
ASN-00152,15935,PRJ-1435,Contributor,50,2022-02-01,
ASN-00153,17248,PRJ-0649,Contributor,25,2022-01-03,
ASN-00154,19175,PRJ-0318,Contributor,100,2022-02-09,2023-07-20
ASN-00155,23793,PRJ-1258,Contributor,50,2022-11-09,
ASN-00156,8756,PRJ-0684,Reviewer,100,2022-01-06,
ASN-00157,21501,PRJ-0664,Contributor,50,2019-07-29,2020-04-02
ASN-00158,12384,PRJ-1999,Lead,25,2018-12-20,2019-06-03
ASN-00159,22404,PRJ-1632,Contributor,50,2020-09-17,2021-03-04
ASN-00160,18142,PRJ-1496,Contributor,25,2021-02-03,2022-06-12
ASN-00161,14821,PRJ-1137,Contributor,25,2022-01-02,
ASN-00162,7575,PRJ-1854,Contributor,100,2020-06-08,2022-04-18
ASN-00163,6375,PRJ-1521,Lead,100,2022-01-09,
ASN-00164,23277,PRJ-2490,Lead,100,2022-05-25,2022-07-28
ASN-00165,1679,PRJ-0564,Reviewer,50,2021-02-18,2021-12-29
ASN-00166,19627,PRJ-1292,Contributor,50,2020-07-01,
ASN-00167,21021,PRJ-1637,Consultant,100,2020-05-25,
ASN-00168,1060,PRJ-0699,Consultant,50,2023-01-02,
ASN-00169,23053,PRJ-2161,Contributor,100,2023-01-01,
ASN-00170,16199,PRJ-0002,Reviewer,100,2021-12-18,2022-04-25
ASN-00171,9915,PRJ-0642,Contributor,100,2020-07-10,2020-12-14
ASN-00172,19542,PRJ-2268,Contributor,50,2020-11-25,
ASN-00173,22300,PRJ-1590,Contributor,50,2022-03-05,
ASN-00174,10818,PRJ-0855,Contributor,75,2021-01-06,2022-10-29
ASN-00175,10922,PRJ-1760,Contributor,50,2022-01-14,
ASN-00176,9790,PRJ-2433,Contributor,100,2020-10-11,
ASN-00177,16313,PRJ-1662,Contributor,50,2021-08-16,2021-09-20
ASN-00178,11253,PRJ-1154,Contributor,100,2021-02-08,
ASN-00179,2694,PRJ-1077,Contributor,50,2021-03-12,2021-03-21
ASN-00180,13932,PRJ-1708,Contributor,25,2018-07-04,
ASN-00181,3628,PRJ-1696,Consultant,25,2022-01-11,
ASN-00182,16158,PRJ-1734,Contributor,25,2021-05-24,2022-03-27
ASN-00183,10174,PRJ-1440,Contributor,50,2021-11-21,
ASN-00184,21835,PRJ-2295,Lead,100,2022-10-14,2023-07-25
ASN-00185,18048,PRJ-0836,Contributor,50,2020-10-05,
ASN-00186,10231,PRJ-0203,Contributor,100,2021-01-05,
ASN-00187,15708,PRJ-0123,Contributor,100,2022-07-03,2022-11-16
ASN-00188,21977,PRJ-0401,Contributor,100,2021-06-20,2022-07-07
ASN-00189,11495,PRJ-0767,Contributor,25,2022-01-05,
ASN-00190,23777,PRJ-0294,Consultant,25,2020-01-05,
ASN-00191,1307,PRJ-2328,Contributor,100,2021-04-18,
ASN-00192,6777,PRJ-0198,Contributor,100,2022-11-16,
ASN-00193,22249,PRJ-1931,Lead,50,2021-01-04,
ASN-00194,9475,PRJ-2192,Contributor,100,2021-09-24,
ASN-00195,7527,PRJ-0609,Reviewer,25,2021-01-07,
ASN-00196,21960,PRJ-1148,Contributor,50,2022-12-27,
ASN-00197,5531,PRJ-0187,Contributor,50,2021-01-06,
ASN-00198,20798,PRJ-1795,Consultant,25,2019-07-08,2021-11-13
ASN-00199,3749,PRJ-0660,Contributor,75,2019-09-03,
ASN-00200,13546,PRJ-1956,Reviewer,25,2019-11-15,2023-05-08
ASN-00201,664,PRJ-2451,Contributor,100,2022-01-03,
ASN-00202,1999,PRJ-1370,Contributor,100,2018-06-03,2019-05-25
ASN-00203,7995,PRJ-1987,Contributor,100,2021-07-14,2023-08-22
ASN-00204,17880,PRJ-1535,Lead,100,2021-02-15,
ASN-00205,3305,PRJ-0147,Contributor,100,2023-01-12,
ASN-00206,20148,PRJ-1735,Contributor,100,2022-01-12,
ASN-00207,21617,PRJ-1844,Contributor,50,2022-01-03,
ASN-00208,18238,PRJ-0489,Contributor,50,2022-01-13,2023-02-26
ASN-00209,13809,PRJ-1960,Contributor,50,2021-08-15,
ASN-00210,6586,PRJ-1664,Contributor,100,2022-11-29,2023-11-11
ASN-00211,17676,PRJ-2386,Contributor,100,2022-01-15,
ASN-00212,19966,PRJ-0641,Consultant,25,2022-08-01,2023-08-16
ASN-00213,11650,PRJ-1803,Contributor,100,2019-11-16,2021-12-05
ASN-00214,23939,PRJ-1970,Contributor,75,2020-12-05,2021-01-10
ASN-00215,23665,PRJ-2199,Reviewer,25,2022-06-13,
ASN-00216,1637,PRJ-1439,Contributor,100,2022-05-28,2023-04-21
ASN-00217,20081,PRJ-1635,Lead,50,2018-09-21,
ASN-00218,17083,PRJ-0263,Contributor,50,2022-01-10,
ASN-00219,4738,PRJ-1788,Reviewer,100,2022-01-11,
ASN-00220,14556,PRJ-2192,Contributor,50,2021-10-01,
ASN-00221,13878,PRJ-2394,Reviewer,25,2020-02-02,2020-07-20
ASN-00222,855,PRJ-0624,Lead,100,2021-07-10,
ASN-00223,24549,PRJ-1017,Contributor,50,2018-12-17,2019-11-09
ASN-00224,5856,PRJ-0881,Contributor,100,2019-06-16,2019-06-27
ASN-00225,7393,PRJ-2050,Contributor,100,2022-01-10,
ASN-00226,22913,PRJ-1328,Reviewer,25,2020-12-20,2021-01-15
ASN-00227,13950,PRJ-2302,Contributor,100,2022-01-11,2022-03-03
ASN-00228,21634,PRJ-0453,Contributor,100,2020-02-14,
ASN-00229,21557,PRJ-1184,Lead,25,2021-12-14,2022-02-12
ASN-00230,18092,PRJ-2057,Contributor,50,2021-04-26,2023-11-20
ASN-00231,5792,PRJ-1683,Contributor,100,2022-10-26,
ASN-00232,21920,PRJ-2256,Lead,100,2020-12-26,
ASN-00233,4932,PRJ-1155,Contributor,100,2022-03-01,
ASN-00234,19895,PRJ-0404,Contributor,100,2021-01-06,
ASN-00235,203,PRJ-2200,Contributor,100,2022-06-08,
ASN-00236,11448,PRJ-2102,Reviewer,100,2020-07-23,
ASN-00237,20603,PRJ-1697,Contributor,50,2018-10-22,
ASN-00238,12689,PRJ-0628,Contributor,50,2022-04-17,2022-09-28
ASN-00239,4390,PRJ-0587,Contributor,50,2020-11-07,
ASN-00240,2328,PRJ-1649,Contributor,75,2018-09-20,
ASN-00241,8005,PRJ-1444,Consultant,25,2018-10-14,
ASN-00242,19316,PRJ-1446,Contributor,100,2020-04-20,2023-02-23
ASN-00243,7778,PRJ-0104,Reviewer,50,2020-01-08,2020-10-16
ASN-00244,198,PRJ-0254,Contributor,25,2022-06-12,
ASN-00245,23510,PRJ-1497,Reviewer,50,2019-04-02,
ASN-00246,1931,PRJ-0099,Reviewer,50,2019-11-05,
ASN-00247,11775,PRJ-2201,Contributor,50,2018-06-29,
ASN-00248,15088,PRJ-1885,Reviewer,100,2022-07-01,2022-10-10
ASN-00249,22672,PRJ-1920,Contributor,50,2022-01-12,
ASN-00250,9340,PRJ-0878,Contributor,50,2022-01-10,2022-04-06
ASN-00251,20667,PRJ-0338,Reviewer,50,2022-10-11,2023-01-30
ASN-00252,11590,PRJ-0957,Lead,25,2020-01-14,
ASN-00253,18896,PRJ-1705,Contributor,50,2022-01-10,
ASN-00254,15709,PRJ-0161,Reviewer,100,2020-01-13,2020-02-20
ASN-00255,17044,PRJ-1604,Reviewer,100,2022-01-13,
ASN-00256,2812,PRJ-0398,Reviewer,100,2021-01-03,2022-08-29
ASN-00257,23483,PRJ-1301,Reviewer,100,2022-01-13,
ASN-00258,14244,PRJ-0816,Contributor,50,2019-12-18,2020-01-08
ASN-00259,6547,PRJ-1528,Contributor,25,2022-01-11,
ASN-00260,1987,PRJ-1920,Contributor,100,2022-01-20,
ASN-00261,8339,PRJ-1416,Consultant,100,2022-05-06,2022-05-17
ASN-00262,11412,PRJ-1159,Contributor,100,2021-01-05,2021-04-29
ASN-00263,2912,PRJ-1219,Contributor,100,2022-09-08,2022-09-19
ASN-00264,1735,PRJ-0401,Reviewer,50,2021-06-27,2022-07-07
ASN-00265,18228,PRJ-0640,Reviewer,25,2018-08-13,
ASN-00266,8681,PRJ-0460,Contributor,75,2018-01-16,
ASN-00267,19361,PRJ-0955,Lead,25,2021-11-06,2022-04-05
ASN-00268,18344,PRJ-0470,Contributor,25,2023-01-03,
ASN-00269,5760,PRJ-1046,Reviewer,50,2021-01-09,
ASN-00270,23079,PRJ-1694,Reviewer,100,2021-08-19,2022-07-27
ASN-00271,2386,PRJ-2086,Contributor,75,2019-01-14,
ASN-00272,11112,PRJ-2278,Contributor,25,2020-10-12,
ASN-00273,4737,PRJ-0563,Lead,25,2018-07-13,2019-04-03
ASN-00274,1803,PRJ-2486,Contributor,50,2018-07-11,2020-02-17
ASN-00275,8156,PRJ-1800,Reviewer,100,2022-02-14,2023-05-28
ASN-00276,8121,PRJ-2075,Contributor,50,2021-08-22,
ASN-00277,6617,PRJ-0226,Contributor,100,2018-04-24,
ASN-00278,14258,PRJ-0798,Reviewer,100,2021-01-06,
ASN-00279,14487,PRJ-2332,Contributor,100,2021-06-22,2022-01-08
ASN-00280,21919,PRJ-0960,Contributor,100,2021-01-15,
ASN-00281,20446,PRJ-1505,Consultant,100,2021-06-20,2023-08-01
ASN-00282,16647,PRJ-0453,Contributor,25,2020-02-13,
ASN-00283,14076,PRJ-0816,Contributor,25,2019-12-13,2020-01-08
ASN-00284,22672,PRJ-0659,Contributor,75,2020-03-15,2022-08-07
ASN-00285,9209,PRJ-0547,Contributor,50,2021-02-22,
ASN-00286,16372,PRJ-1216,Contributor,100,2019-08-20,2023-03-05
ASN-00287,11836,PRJ-0017,Contributor,50,2020-10-06,
ASN-00288,13169,PRJ-1244,Contributor,25,2022-01-09,
ASN-00289,2050,PRJ-2206,Lead,50,2020-12-05,
ASN-00290,5424,PRJ-1070,Contributor,100,2018-04-05,
ASN-00291,14590,PRJ-2147,Reviewer,50,2022-09-19,
ASN-00292,20933,PRJ-1769,Reviewer,100,2020-08-29,2021-09-14
ASN-00293,19493,PRJ-1061,Contributor,100,2018-09-22,
ASN-00294,7159,PRJ-2328,Reviewer,50,2021-04-27,
ASN-00295,10249,PRJ-0302,Contributor,50,2019-03-08,
ASN-00296,7401,PRJ-0181,Reviewer,50,2021-01-03,
ASN-00297,19555,PRJ-0607,Lead,100,2019-05-02,
ASN-00298,9875,PRJ-0700,Reviewer,25,2021-10-15,
ASN-00299,15152,PRJ-0993,Lead,100,2022-01-11,
ASN-00300,18640,PRJ-1140,Reviewer,75,2022-09-18,
ASN-00301,1155,PRJ-0191,Reviewer,75,2018-11-05,2019-04-22
ASN-00302,4500,PRJ-2301,Reviewer,100,2023-01-11,
ASN-00303,6296,PRJ-0981,Contributor,25,2021-05-07,2021-08-26
ASN-00304,22582,PRJ-2007,Consultant,100,2022-02-07,2023-07-30
ASN-00305,12184,PRJ-1185,Contributor,100,2022-01-11,
ASN-00306,12875,PRJ-0128,Contributor,100,2021-10-07,
ASN-00307,18033,PRJ-2066,Contributor,100,2022-01-04,
ASN-00308,5540,PRJ-1817,Contributor,25,2021-02-04,
ASN-00309,9638,PRJ-1759,Contributor,75,2022-03-15,
ASN-00310,20584,PRJ-0570,Contributor,50,2019-09-25,2020-07-12
ASN-00311,24830,PRJ-1347,Contributor,100,2022-04-08,
ASN-00312,15587,PRJ-1896,Contributor,100,2022-05-08,
ASN-00313,2558,PRJ-0626,Reviewer,50,2022-03-27,
ASN-00314,5593,PRJ-1687,Contributor,100,2020-07-08,
ASN-00315,16483,PRJ-0155,Lead,75,2021-01-23,2021-09-19
ASN-00316,2201,PRJ-1410,Contributor,75,2020-12-25,
ASN-00317,14173,PRJ-0785,Consultant,100,2018-05-26,
ASN-00318,2962,PRJ-0246,Reviewer,75,2020-10-03,2021-02-26
ASN-00319,14208,PRJ-1501,Contributor,25,2021-11-23,
ASN-00320,21358,PRJ-1706,Contributor,100,2022-06-29,
ASN-00321,20818,PRJ-0538,Contributor,50,2018-08-26,2020-10-13
ASN-00322,11970,PRJ-1891,Contributor,50,2020-02-26,2020-07-27
ASN-00323,2870,PRJ-1842,Consultant,100,2022-02-26,
ASN-00324,17341,PRJ-0921,Contributor,100,2022-03-01,
ASN-00325,13993,PRJ-2456,Contributor,100,2021-08-16,
ASN-00326,24737,PRJ-0525,Contributor,100,2021-01-14,
ASN-00327,5700,PRJ-1530,Consultant,25,2021-04-02,2021-12-07
ASN-00328,23329,PRJ-0036,Contributor,50,2022-03-26,
ASN-00329,20878,PRJ-0685,Reviewer,100,2023-01-06,
ASN-00330,21296,PRJ-0020,Contributor,25,2020-07-12,2020-10-18
ASN-00331,3988,PRJ-2369,Reviewer,100,2022-12-09,
ASN-00332,22400,PRJ-0400,Contributor,25,2018-08-22,
ASN-00333,13447,PRJ-0972,Contributor,25,2020-01-08,
ASN-00334,1219,PRJ-1907,Contributor,25,2019-07-21,
ASN-00335,20881,PRJ-1167,Contributor,50,2022-02-01,2022-04-04
ASN-00336,4736,PRJ-1116,Contributor,50,2022-01-04,2022-05-11
ASN-00337,11297,PRJ-0834,Contributor,50,2018-05-10,
ASN-00338,4556,PRJ-1824,Contributor,50,2023-01-03,
ASN-00339,9147,PRJ-1983,Reviewer,100,2021-05-02,2022-10-01
ASN-00340,8051,PRJ-0854,Reviewer,75,2020-01-04,2022-10-25
ASN-00341,12758,PRJ-0051,Contributor,100,2021-12-27,
ASN-00342,19831,PRJ-0575,Reviewer,25,2021-01-12,
ASN-00343,17430,PRJ-1149,Lead,100,2022-08-12,
ASN-00344,6894,PRJ-2198,Contributor,50,2018-12-11,2020-05-28
ASN-00345,18078,PRJ-2362,Contributor,50,2020-01-14,2020-04-20
ASN-00346,14374,PRJ-2353,Contributor,100,2018-11-30,2021-10-18
ASN-00347,14566,PRJ-1716,Contributor,50,2019-03-19,2019-04-29
ASN-00348,3437,PRJ-0682,Reviewer,100,2019-12-02,2021-03-01
ASN-00349,8755,PRJ-0838,Lead,50,2020-01-14,
ASN-00350,10678,PRJ-1078,Contributor,50,2021-01-02,
ASN-00351,5896,PRJ-2492,Lead,25,2019-02-19,
ASN-00352,19739,PRJ-2312,Contributor,100,2019-03-13,
ASN-00353,16610,PRJ-1596,Consultant,75,2018-10-08,
ASN-00354,15637,PRJ-0005,Contributor,100,2022-05-05,2023-06-30
ASN-00355,21278,PRJ-1127,Contributor,100,2020-06-13,
ASN-00356,7023,PRJ-1220,Consultant,100,2022-06-04,2022-08-05
ASN-00357,9152,PRJ-0774,Contributor,25,2020-10-29,
ASN-00358,5601,PRJ-0877,Contributor,25,2019-04-14,
ASN-00359,7997,PRJ-0992,Reviewer,75,2022-02-11,
ASN-00360,9008,PRJ-0047,Contributor,25,2021-01-09,
ASN-00361,12947,PRJ-0269,Consultant,100,2020-06-15,
ASN-00362,24068,PRJ-0370,Reviewer,100,2020-03-03,
ASN-00363,4643,PRJ-0636,Consultant,100,2021-11-07,2023-05-25
ASN-00364,11313,PRJ-1130,Reviewer,25,2021-03-16,
ASN-00365,7680,PRJ-1694,Contributor,50,2021-08-17,2022-07-27
ASN-00366,8209,PRJ-1683,Reviewer,50,2022-10-21,
ASN-00367,23724,PRJ-0657,Contributor,50,2018-11-16,2019-01-15
ASN-00368,18590,PRJ-0120,Contributor,25,2021-05-24,
ASN-00369,10717,PRJ-0831,Contributor,50,2019-01-08,
ASN-00370,17454,PRJ-1811,Lead,100,2021-12-20,2023-01-15
ASN-00371,3445,PRJ-1082,Reviewer,25,2019-08-11,
ASN-00372,10758,PRJ-1975,Contributor,50,2020-02-07,
ASN-00373,14435,PRJ-1370,Reviewer,50,2018-05-25,2019-05-25
ASN-00374,1061,PRJ-0741,Contributor,50,2020-01-29,
ASN-00375,18712,PRJ-0117,Reviewer,50,2020-01-17,2020-02-11
ASN-00376,3421,PRJ-1854,Contributor,50,2020-05-28,2022-04-18
ASN-00377,302,PRJ-1151,Contributor,100,2020-12-02,2022-10-22
ASN-00378,12469,PRJ-1932,Reviewer,50,2020-10-13,2022-02-13
ASN-00379,16991,PRJ-1013,Contributor,100,2018-10-14,
ASN-00380,19555,PRJ-1665,Reviewer,100,2019-06-09,
ASN-00381,700,PRJ-1082,Contributor,75,2021-01-01,
ASN-00382,21473,PRJ-0634,Reviewer,100,2022-12-18,2023-02-12
ASN-00383,191,PRJ-0513,Contributor,50,2018-01-10,
ASN-00384,10493,PRJ-1120,Contributor,100,2020-01-14,
ASN-00385,17365,PRJ-1142,Contributor,50,2019-01-25,
ASN-00386,2976,PRJ-0560,Reviewer,50,2022-10-10,
ASN-00387,6103,PRJ-0488,Contributor,100,2022-01-02,2022-08-23
ASN-00388,17569,PRJ-0897,Contributor,50,2020-11-24,
ASN-00389,19712,PRJ-1213,Lead,50,2022-12-14,2023-05-20
ASN-00390,19779,PRJ-0704,Consultant,100,2020-01-11,
ASN-00391,24704,PRJ-1471,Contributor,25,2022-04-19,
ASN-00392,1817,PRJ-0581,Contributor,50,2020-06-23,2020-09-07
